"2.000","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1391.508179","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.995657","0.000000","48.379288","2.831404","0.000000","0.677602","0.000000","0.000000","0.000000","89.513344","42.248169","-264.010376","-264.010376","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","129.523178","4.819638","1.934081","23.209431","0.000015","0.000015","3.189950","0.000000","21.274723","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-28.408739","-264.010376","11.604609","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845470064961","-96.771576266550","399.03"
"2.100","0.000","-40.401985","6.796893","49.205654","1078.727539","52499.835938","51187.203125","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1316.536499","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.007524","0.000000","50.219223","3.561095","0.000000","0.689240","0.000000","0.000000","0.000000","92.561172","43.687050","-273.000000","-273.000000","-8.000000","-206.144470","-206.144470","-206.144470","-206.144470","-206.144470","-206.144470","-76.454681","-76.454681","144.168915","5.676463","2.000000","24.000000","-206.144470","-206.144470","3.373190","0.000000","21.999193","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","11.999818","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845471229354","-96.771571444191","398.09"
"2.200","0.000","-34.210217","7.349786","48.299381","1079.271240","52562.136719","51187.203125","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","785.349426","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.804030","0.000000","49.745678","2.218619","0.000000","0.685543","0.000000","0.000000","0.000000","92.561172","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","162.018402","5.997772","2.000000","24.000000","-273.000000","-273.000000","1.818606","0.000000","18.959820","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","11.999818","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845472393747","-96.771566621832","397.16"
"2.300","0.001","-28.018450","7.902678","36.978409","1078.364746","52499.835938","51218.566406","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","987.402344","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.856911","0.000000","50.282001","2.401041","0.000000","0.685543","0.000000","0.000000","0.000000","92.514664","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","181.240921","6.961699","2.000000","24.000000","-273.000000","-273.000000","2.474723","0.000000","21.999193","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","11.799864","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845473558140","-96.771561799473","396.23"
"2.400","0.001","-21.826683","8.455571","31.637341","1078.727539","52499.835938","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1217.260742","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.045571","0.000000","49.802254","4.204713","0.000000","0.685543","0.000000","0.000000","0.000000","92.498672","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","196.802017","7.925627","2.000000","24.000000","-273.000000","-273.000000","3.150543","0.000000","21.999193","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.480905","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845474722532","-96.771556977114","395.29"
"2.500","0.001","-15.634917","9.008463","20.724930","1078.364746","52499.835938","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1589.029785","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.161105","0.000000","49.512394","5.504795","0.000000","0.685543","0.000000","0.000000","0.000000","93.686119","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","220.601318","8.675349","2.000000","24.000000","-273.000000","-273.000000","4.054921","0.000000","21.999193","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.695812","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845475886925","-96.771552154755","394.36"
"2.600","0.001","-9.443151","9.561356","3.565181","1078.727539","52499.835938","51218.566406","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","1840.514648","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.367392","0.000000","49.406986","7.652757","0.000000","0.685543","0.000000","0.000000","0.000000","94.061104","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","256.300293","9.960586","2.000000","24.000000","-273.000000","-273.000000","5.200663","0.000000","19.144295","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.774854","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845477051318","-96.771547332396","393.43"
"2.700","0.001","-3.251384","10.114248","-1.025609","1078.727539","52499.835938","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","2382.823975","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-1.724642","0.000000","49.088448","11.324333","0.000000","0.685543","0.000000","0.000000","0.000000","94.014595","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","298.864441","11.674234","2.000000","24.000000","-273.000000","-273.000000","7.200539","0.000000","19.270563","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.799849","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845478215711","-96.771542510038","392.49"
"2.800","0.001","2.940382","10.667141","-0.193621","1078.364746","52499.835938","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","2807.114502","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-2.345248","0.000000","48.215755","14.659328","0.000000","0.685543","0.000000","0.000000","0.000000","93.998604","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","352.870575","14.458915","2.000000","24.000000","-273.000000","-273.000000","8.378791","0.000000","19.616232","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.799849","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845479380104","-96.771537687679","391.56"
"2.900","0.001","9.132149","11.220034","-0.126765","1078.727539","52499.835938","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","3333.358154","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-2.931996","0.000000","47.305088","19.136389","0.000000","0.685543","0.000000","0.000000","0.000000","94.046570","43.758148","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","415.572601","16.708078","2.000000","24.000000","-273.000000","-273.000000","9.200415","0.000000","23.915594","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.799849","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845480544497","-96.771532865320","390.62"
"3.000","0.001","15.323915","11.772926","0.155517","1078.727539","52530.984375","51280.792969","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","4215.923828","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-4.072332","0.000000","46.578880","28.263945","0.000000","0.685543","0.000000","0.000000","0.000000","94.061104","43.781170","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","492.462708","20.456686","2.000000","24.000000","-273.000000","-273.000000","10.123510","0.000000","28.916143","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.799849","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845481708889","-96.771528042961","389.69"
"3.100","0.001","16.998487","11.896880","-0.119336","1078.727539","52530.984375","51218.566406","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","4722.806641","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-5.246876","0.000000","45.131889","35.483768","0.000000","0.685543","0.000000","0.000000","0.000000","94.061104","43.709393","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","586.286926","24.419500","2.000000","24.000000","-273.000000","-273.000000","10.546144","0.000000","31.464775","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.872909","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845482873282","-96.771523220602","388.76"
"3.200","0.001","18.673059","12.020834","0.036662","1078.727539","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","5089.426758","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-5.645139","0.000000","44.820324","40.790722","0.000000","0.685543","0.000000","0.000000","0.000000","94.061104","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","689.722412","28.489418","2.000000","24.000000","-273.000000","-273.000000","11.473180","0.000000","44.299278","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845484037675","-96.771518398243","387.82"
"3.300","0.001","20.347631","12.144788","0.571511","1078.727539","52562.136719","51218.566406","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","5434.626465","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.102739","0.000000","44.129768","48.216095","0.000000","0.685543","0.000000","0.000000","0.000000","94.061104","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","802.311462","33.201954","2.000000","24.000000","-273.000000","-273.000000","11.950983","0.000000","49.493259","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845485202068","-96.771513575884","386.89"
"3.400","0.001","22.022203","12.268742","0.586368","1078.727539","52499.835938","51218.566406","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","5825.962402","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.764708","0.000000","43.420609","48.913670","0.000000","0.685543","0.000000","0.000000","0.000000","94.061104","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","923.596436","38.235798","2.000000","24.000000","-273.000000","-273.000000","11.999256","0.000000","53.136211","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845486366461","-96.771508753525","385.96"
"3.500","0.001","23.696774","12.392695","0.162946","1079.271240","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","6287.944336","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.417251","0.000000","42.072048","60.611843","0.000000","0.685543","0.000000","0.000000","0.000000","94.061104","43.687050","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","987.213806","40.484962","2.000000","24.000000","-273.000000","-273.000000","12.195303","0.000000","55.495888","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.799849","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845487530854","-96.771503931166","385.02"
"3.600","0.001","25.371346","12.516649","0.200088","1079.271240","52499.835938","51312.156250","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","6496.794434","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-7.964208","0.000000","41.789932","57.504234","0.000000","0.685543","0.000000","0.000000","0.000000","94.248596","43.593605","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","1120.856079","46.268528","2.000000","24.000000","-273.000000","-273.000000","12.021914","0.000000","56.284836","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845488695246","-96.771499108807","384.09"
"3.700","0.001","27.045918","12.640603","0.890935","1078.727539","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","6711.617188","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.598251","0.000000","41.242760","64.161377","0.000000","0.685543","0.000000","0.000000","0.000000","94.248596","43.593605","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","1259.075195","52.266300","2.000000","24.000000","-273.000000","-273.000000","11.641643","0.000000","56.499760","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.794737","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845489859639","-96.771494286449","383.15"
"3.800","0.001","28.720490","12.764557","0.838936","1078.727539","52499.835938","51280.792969","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","6759.607422","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.928800","0.000000","40.734333","65.873833","0.000000","0.685543","0.000000","0.000000","0.000000","94.248596","43.499485","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","1400.955688","58.264072","2.000000","24.000000","-273.000000","-273.000000","11.071235","0.000000","56.592896","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.789474","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845491024032","-96.771489464090","382.22"
"3.900","0.001","30.395061","12.888511","0.534369","1079.633911","52499.835938","51312.156250","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","6637.469238","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-9.077668","0.000000","40.763786","62.266487","0.000000","0.685543","0.000000","0.000000","0.000000","94.248596","43.499485","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","1541.463135","64.261841","2.000000","24.000000","-273.000000","-273.000000","10.445658","0.000000","56.499760","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.784211","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845492188425","-96.771484641731","381.29"
"4.000","0.001","32.069633","13.012465","0.482369","1078.727539","52562.136719","51280.792969","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","6434.592285","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-9.018854","0.000000","40.673107","62.630051","0.000000","0.685543","0.000000","0.000000","0.000000","93.998604","43.374897","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","1679.224609","69.188583","2.000000","24.000000","-273.000000","-273.000000","9.845695","0.000000","56.068123","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.778947","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845493352818","-96.771479819372","380.35"
"4.100","0.001","32.185246","13.017022","0.244659","1078.727539","52499.835938","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","6155.302246","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.725654","0.000000","41.217960","58.054073","0.000000","0.685543","0.000000","0.000000","0.000000","93.998604","43.374897","-273.000000","-273.000000","-0.000122","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-273.000000","-101.250000","-101.250000","1811.036133","75.186356","2.000000","24.000000","-273.000000","-273.000000","9.546206","0.000000","55.164551","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-29.376062","-273.000000","12.895980","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.773684","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845494517210","-96.771474997013","379.42"
